package,snippet,description
@aws-sdk/client-rds-data-browser	"//JavaScript\nconst {\n  RDSDataClient,\n  BatchExecuteStatementCommand\n} = require(\"@aws-sdk/client-rds-data-browser\");\n"	"### Import\nThe AWS SDK is modulized by clients and commands in CommonJS modules. To send a request, you only need to import the client(`RDSDataClient`) and the commands you need, for example `BatchExecuteStatementCommand`:\n"
@aws-sdk/client-rds-data-browser	"//TypeScript\nimport {\n  RDSDataClient,\n  BatchExecuteStatementCommand\n} from \"@aws-sdk/client-rds-data-browser\";\n"	"### Import\nThe AWS SDK is modulized by clients and commands in CommonJS modules. To send a request, you only need to import the client(`RDSDataClient`) and the commands you need, for example `BatchExecuteStatementCommand`:\n"
@aws-sdk/client-rds-data-browser	"const rDSData = new RDSDataClient({region: 'region'});\n//clients can be shared by different commands\nconst params = {\n  resourceArn: /**a string value*/,\n  secretArn: /**a string value*/,\n  sql: /**a string value*/,\n};\nconst batchExecuteStatementCommand = new BatchExecuteStatementCommand(params);\nrDSData.send(batchExecuteStatementCommand).then(data => {\n    // do something\n}).catch(error => {\n    // error handling\n})\n"	"### Usage\nTo send a request, you:\n- Initiate client with configuration (e.g. credentials, region). For more information you can refer to the [API reference][].\n- Initiate command with input parameters.\n- Call `send` operation on client with command object as input.\n- If you are using a custom http handler, you may call `destroy()` to close open connections.\n"
@aws-sdk/client-rds-data-browser	"// async/await\ntry {\n  const data = await rDSData.send(batchExecuteStatementCommand);\n  // do something\n} catch (error) {\n  // error handling\n}\n"	"In addition to using promises, there are 2 other ways to send a request:\n"
@aws-sdk/client-rds-data-browser	"// callback\nrDSData.send(batchExecuteStatementCommand, (err, data) => {\n  //do something\n});\n"	"In addition to using promises, there are 2 other ways to send a request:\n"
@aws-sdk/client-rds-data-browser	"import * as AWS from \"@aws-sdk/client-rds-data-browser\";\nconst rDSData = new AWS.RDSData({ region: \"region\" });\nrDSData.batchExecuteStatement(params, (err, data) => {\n  //do something\n});\n"	"The SDK can also send requests using the simplified callback style from version 2 of the SDK.\n"
@aws-sdk/client-rds-data-browser	"try {\n  const data = await rDSData.send(batchExecuteStatementCommand);\n  // do something\n} catch (error) {\n  const metadata = error.$metadata;\n  console.log(\n    `requestId: ${metadata.requestId}\ncfId: ${metadata.cfId}\nextendedRequestId: ${metadata.extendedRequestId}`\n  );\n  /*\nThe keys within exceptions are also parsed. You can access them by specifying exception names:\n    if(error.name === 'SomeServiceException') {\n        const value = error.specialKeyInException;\n    }\n*/\n}\n"	"### Troubleshooting\nWhen the service returns an exception, the error will include the exception information, as well as response metadata (e.g. request id).\n"
@blueeast/react-native-web-maps	"import MapView from 'react-native-maps';\n"	"## Usage\n"
@cw-types/bluebird	"    \"typeRoots\": [\n      \"node_modules/@cw-types\",\n      \"node_modules/@types\"\n    ]\n"	" \n> First, run `npm install --save @cw-types/bluebird`\n>Then, you must add `node_modules/@cw-types` to your `tsconifg.json` file, like so:\n"
@enounca/socket.io	"var server = require('http').createServer();\nvar io = require('socket.io')(server);\nio.on('connection', function(socket){\n  socket.on('event', function(data){});\n  socket.on('disconnect', function(){});\n});\nserver.listen(3000);\n"	"## How to use\nThe following example attaches socket.io to a plain Node.JS\nHTTP server listening on port `3000`.\n"
@enounca/socket.io	"var io = require('socket.io')();\nio.on('connection', function(socket){});\nio.listen(3000);\n"	"### Standalone\n"
@enounca/socket.io	"var app = require('express')();\nvar server = require('http').createServer(app);\nvar io = require('socket.io')(server);\nio.on('connection', function(){ /* … */ });\nserver.listen(3000);\n"	"### In conjunction with Express\nStarting with **3.0**, express applications have become request handler\nfunctions that you pass to `http` or `http` `Server` instances. You need\nto pass the `Server` to `socket.io`, and not the express application\nfunction.\n"
@enounca/socket.io	"var app = require('koa')();\nvar server = require('http').createServer(app.callback());\nvar io = require('socket.io')(server);\nio.on('connection', function(){ /* … */ });\nserver.listen(3000);\n"	"### In conjunction with Koa\nLike Express.JS, Koa works by exposing an application as a request\nhandler function, but only by calling the `callback` method.\n"
@femessage/upload-to-ali	"// vue.config.js\nconst Dotenv = require('dotenv-webpack')\nmodule.exports = {\n  configureWebpack: {\n    plugins: [new Dotenv()]\n  }\n}\n"	"### vue-cli3\nvue-cli3 offers an easy solution to replace [process.env](https://cli.vuejs.org/zh/guide/mode-and-env.html#%E6%A8%A1%E5%BC%8F), but it requires a pattern(VUE*APP*\\*) to inject in client side. So we need to use `dotenv-webpack`'s solution.\n"
@flykode/simplejs-format	"'use strict';\n\nconst sjsformat = require('@flykode/simplejs-format');\n\nlet currency001 = new sjsformat.FkNumbers();\n\nconsole.log(currency001.currencyFormat(1000));\n"	"A simple JS Format Package for Study purposes\n#Example\n"
@gormed/chromeless	"const { Chromeless } = require('chromeless')\n\nasync function run() {\n  const chromeless = new Chromeless()\n\n  const screenshot = await chromeless\n    .goto('https://www.google.com')\n    .type('chromeless', 'input[name=\"q\"]')\n    .press(13)\n    .wait('#resultStats')\n    .screenshot()\n\n  console.log(screenshot) // prints local file path or S3 url\n\n  await chromeless.end()\n}\n\nrun().catch(console.error.bind(console))\n"	"## Usage\nUsing Chromeless is similar to other browser automation tools. For example:\n"
@gormed/chromeless	"const chromeless = new Chromeless({\n  remote: {\n    endpointUrl: 'https://XXXXXXXXXX.execute-api.eu-west-1.amazonaws.com/dev',\n    apiKey: 'your-api-key-here',\n  },\n})\n"	"### Proxy Usage\nFollow the setup instructions [here](serverless#installation).\nThen using Chromeless with the Proxy service is the same as running it locally with the exception of the `remote` option.\nAlternatively you can configure the Proxy service's endpoint with environment variables. [Here's how](serverless#using-the-proxy).\n"
@infinitecsolutions/semantic-ui-less-module-loader	"import 'semantic-ui-less/definitions/globals/reset.less';\nimport 'semantic-ui-less/definitions/globals/site.less';\n"	"### Configuration\nAdd to your root js component:\n"
@infinitecsolutions/semantic-ui-less-module-loader	"module: {\n  loaders: [\n\n    // less-loader\n    {\n      test: /\\.less$/,\n      loader: ExtractTextPlugin.extract('style', 'css?!postcss!semantic-ui-less-module'),\n      include: [/[\\/\\\\]node_modules[\\/\\\\]semantic-ui-less[\\/\\\\]/]\n    },\n\n    // loader for static assets\n    {\n      test: /\\.(png|jpg|jpeg|gif|svg)$/,\n      loader: 'url?limit=10240&absolute&name=images/[path][name]-[hash:7].[ext]',\n      include: [/[\\/\\\\]node_modules[\\/\\\\]semantic-ui-less[\\/\\\\]/]\n    },\n    {\n      test: /\\.(woff|woff2|ttf|svg|eot)$/,\n      loader: 'url?limit=10240&name=fonts/[name]-[hash:7].[ext]',\n      include: [/[\\/\\\\]node_modules[\\/\\\\]semantic-ui-less[\\/\\\\]/]\n    }\n  ]\n},\n\n// you can also add specific options:\nsemanticUiLessModuleLoader: {\n  siteFolder: path.join(__dirname, 'src/site'),\n},  \n  \n"	"#### For webpack v.1\n"
@infinitecsolutions/semantic-ui-less-module-loader	"\nmodule: {\n      rules: [\n\n        // for .less files:\n        {\n          test: /\\.less$/,\n          use: ExtractTextPlugin.extract({\n            fallback: 'style-loader',\n            use: [\n              { loader: 'css-loader' },\n              { loader: 'less-loader' }\n            ]\n          }),\n          exclude: [/[\\/\\\\]node_modules[\\/\\\\]semantic-ui-less[\\/\\\\]/]\n        },\n\n        // for semantic-ui-less files:\n        {\n          test: /\\.less$/,\n          use: ExtractTextPlugin.extract({\n            fallback: 'style-loader',\n            use: [\n              { loader: 'css-loader' },\n              {\n                loader: 'semantic-ui-less-module-loader',\n                // you can also add specific options:\n                options: { siteFolder: path.join(__dirname, 'src/site') }\n              }\n            ]\n          }),\n          include: [/[\\/\\\\]node_modules[\\/\\\\]semantic-ui-less[\\/\\\\]/]\n        },\n\n        // loader for static assets\n        {\n          test: /\\.(png|jpg|jpeg|gif|svg)$/,\n          use: {\n            loader: 'url-loader',\n            options: {\n              limit: 10240,\n              absolute: true,\n              name: 'images/[path][name]-[hash:7].[ext]'\n            }\n          },\n          include: [path.join(__dirname, 'src'), /[\\/\\\\]node_modules[\\/\\\\]semantic-ui-less[\\/\\\\]/]\n        }, {\n          test: /\\.(woff|woff2|ttf|svg|eot)$/,\n          use: {\n            loader: 'url-loader',\n            options: {\n              limit: 10240,\n              name: 'fonts/[name]-[hash:7].[ext]'\n            }\n          },\n          include: [path.join(__dirname, 'src'), /[\\/\\\\]node_modules[\\/\\\\]semantic-ui-less[\\/\\\\]/]\n        }\n      ]\n    }\n"	"#### For webpack v.2\n"
@ironfly/lru-diskcache	"var LRU = require(\"lru-diskcache\")\r\n\r\nvar cache = LRU('./cache', {\r\n    max: 50\r\n});\r\n\r\ncache.init()\r\n\r\ncache.set(\"myfile.md\", \"A string content\")\r\ncache.get(\"file\").then(function() { ... }) // Buffer(\"A string content\")\r\n\r\n// with a buffer or stream\r\ncache.set(\"image.png\", new Buffer([ ... ]))\r\ncache.set(\"index.html\", request.get(\"https://www.google.fr\"))\r\n\r\ncache.reset()    // empty the cache\r\n"	"### Usage\r\n\r\n"
